gene_id,log2FoldChange,pvalue,padj
YAL003W,1.053832,0.0007914602,0.002403175
YAL005C,1.017553,0.004125475,0.01027738
YAL007C,1.599887,9.650321e-10,9.841155e-09
YAL011W,1.181984,5.201861e-09,4.660368e-08
YAL012W,1.231218,0.003504599,0.00891326
YAL019W,1.657464,2.290269e-15,7.191671e-14
YAL023C,1.241828,3.907082e-05,0.0001616609
YAL024C,1.403481,1.450578e-09,1.426514e-08
YAL025C,2.029255,2.346456e-09,2.214817e-08
YAL030W,1.043312,0.0001494164,0.0005363601
YAL035W,1.449369,5.818439e-11,7.67284e-10
YAL036C,2.221963,1.194518e-10,1.440461e-09
YAL043C,1.059533,3.515116e-05,0.0001479521
YAL046C,1.535949,0.004422643,0.01091125
YAL053W,1.777897,4.980682e-18,2.898391e-16
YAL059W,1.289699,2.19002e-05,9.633355e-05
YAR002C-A,1.34521,6.576272e-07,3.887539e-06
YAR008W,1.282242,0.0002696038,0.0009120518
YAR014C,1.142757,6.74712e-10,7.109134e-09
YAR042W,1.513672,5.866222e-22,7.29597e-20
YBL004W,1.693419,5.145298e-14,1.295104e-12
YBL010C,1.357767,2.385706e-05,0.0001038609
YBL023C,1.878433,5.147539e-13,1.01716e-11
YBL024W,1.708702,1.39692e-11,2.124859e-10
YBL031W,1.133644,0.005766891,0.01379834
YBL034C,1.253236,3.545744e-07,2.226798e-06
YBL035C,1.035473,0.0001094724,0.0004077413
YBL039C,2.446609,3.741127e-12,6.344911e-11
YBL052C,1.461097,1.225223e-11,1.877195e-10
YBL054W,1.185884,0.001837316,0.005091348
YBL061C,1.084745,1.059664e-07,7.378098e-07
YBL071W-A,1.089082,0.04341317,0.08130195
YBL072C,1.148725,0.004906761,0.01193847
YBL075C,1.234336,0.005622702,0.01348386
YBL087C,1.40271,0.003422401,0.008714688
YBL092W,1.463441,0.001117201,0.003249154
YBL097W,1.21652,3.298852e-07,2.086203e-06
YBR011C,1.312041,0.001736697,0.004833643
YBR012W-B,1.218558,0.02613524,0.05214715
YBR014C,1.086733,0.0004979243,0.001592705
YBR017C,1.050186,1.055585e-09,1.069581e-08
YBR025C,1.05591,2.862322e-08,2.238682e-07
YBR030W,2.15572,3.760582e-13,7.620885e-12
YBR031W,1.04942,0.02038625,0.041686
YBR038W,1.220112,2.525192e-08,2.002162e-07
YBR048W,2.127931,9.772903e-14,2.305795e-12
YBR065C,1.123367,7.704842e-05,0.0002963724
YBR070C,1.067361,0.000574902,0.001810266
YBR072W,1.183996,0.01128522,0.02490681
YBR079C,1.617945,4.639607e-14,1.177161e-12
YBR084W,1.236917,2.843011e-06,1.512854e-05
YBR088C,1.078632,0.02407846,0.04848047
YBR108W,1.189644,7.775548e-07,4.558254e-06
YBR118W,1.680467,0.004042946,0.01010418
YBR121C,2.009337,2.749076e-13,5.754913e-12
YBR137W,1.019682,0.02611564,0.05212446
YBR142W,2.206537,1.392801e-16,5.969281e-15
YBR143C,1.520227,1.997556e-09,1.902477e-08
YBR152W,1.108526,1.198868e-05,5.591487e-05
YBR154C,1.538475,1.7301e-05,7.766472e-05
YBR155W,2.00111,1.630268e-11,2.438866e-10
YBR156C,1.48401,2.084785e-05,9.215187e-05
YBR160W,1.733412,1.205825e-06,6.816886e-06
YBR169C,1.54158,2.177953e-08,1.75092e-07
YBR172C,1.981514,7.928727e-16,2.825389e-14
YBR177C,1.541282,2.2993e-07,1.506659e-06
YBR181C,1.046628,0.002545842,0.00674813
YBR184W,1.615958,1.708905e-06,9.450381e-06
YBR188C,1.795916,3.700845e-10,4.103926e-09
YBR189W,1.235977,0.002580345,0.006825325
YBR193C,1.231155,1.564218e-05,7.092088e-05
YBR197C,1.40911,0.0005758166,0.00181081
YBR245C,1.300965,3.703805e-11,5.118351e-10
YBR247C,1.016608,0.0001393646,0.0005054259
YBR257W,1.00347,3.729973e-06,1.926647e-05
YBR261C,1.049979,0.02044129,0.04177161
YBR267W,2.008034,3.062952e-11,4.298297e-10
YBR275C,1.464981,1.720313e-15,5.595871e-14
YBR292C,1.115822,0.0003072586,0.00102468
YCL014W,1.487935,5.483366e-16,2.058047e-14
YCL024W,1.649193,3.086702e-08,2.387677e-07
YCL029C,1.195153,6.684547e-05,0.0002615674
YCL031C,1.023835,5.000241e-08,3.687968e-07
YCL037C,1.980092,5.010645e-08,3.69135e-07
YCL054W,2.067218,1.421046e-14,4.006085e-13
YCL058W-A,1.556217,1.44757e-05,6.615226e-05
YCL059C,1.221942,4.203277e-07,2.601111e-06
YCL061C,1.683887,1.929419e-14,5.321001e-13
YCR016W,1.15495,2.344175e-06,1.267613e-05
YCR020C,1.958626,6.731663e-10,7.104648e-09
YCR025C,1.178062,4.235835e-05,0.000172562
YCR031C,1.337939,0.004453101,0.01097359
YCR035C,1.326925,4.503873e-11,6.091272e-10
YCR036W,1.529604,1.05516e-08,8.98373e-08
YCR051W,1.577746,0.0001427298,0.0005161547
YCR052W,1.679446,1.057526e-10,1.287502e-09
YCR053W,1.203312,4.318559e-08,3.234076e-07
YCR065W,1.653038,1.275713e-06,7.179991e-06
YCR071C,1.025592,0.002694468,0.007088765
YCR072C,1.075745,0.004288606,0.01062147
YCR086W,1.645425,7.430583e-15,2.17199e-13
YCR087C-A,1.165016,0.003176994,0.008185082
YCR088W,1.036379,3.977502e-06,2.042858e-05
YDL001W,1.088747,5.218242e-10,5.642165e-09
YDL003W,1.733878,3.259186e-11,4.54352e-10
YDL015C,1.109226,2.418345e-07,1.570068e-06
YDL019C,1.175067,6.915391e-08,4.97328e-07
YDL031W,1.610658,5.303733e-12,8.67051e-11
YDL039C,1.24089,0.0009177928,0.002738269
YDL040C,1.313017,1.007425e-17,5.605348e-16
YDL042C,1.924801,1.09473e-10,1.322642e-09
YDL051W,1.286603,2.874381e-05,0.0001228585
YDL058W,1.150657,3.493358e-13,7.14786e-12
YDL060W,1.997591,1.45895e-12,2.69015e-11
YDL061C,1.556386,0.001120501,0.003257259
YDL075W,2.083078,1.168713e-15,4.007108e-14
YDL082W,1.2423,0.0001993283,0.0006985299
YDL092W,1.072894,1.170404e-07,8.069425e-07
YDL093W,1.235034,2.136085e-05,9.422246e-05
YDL101C,1.215049,2.846712e-05,0.0001219223
YDL112W,1.012107,1.204209e-05,5.612269e-05
YDL122W,1.305227,9.616487e-16,3.351504e-14
YDL130W,2.093101,1.094719e-10,1.322642e-09
YDL136W,1.583071,0.0003040157,0.001016538
YDL143W,1.845669,6.596608e-20,5.731820000000001e-18
YDL148C,2.439821,1.1258140000000001e-18,7.847297e-17
YDL150W,1.518205,1.180009e-07,8.126818e-07
YDL153C,1.621488,2.483788e-08,1.974269e-07
YDL157C,1.040109,3.496314e-06,1.819288e-05
YDL164C,1.39317,6.29684e-07,3.73978e-06
YDL191W,1.520429,8.116509e-06,3.915058e-05
YDL197C,1.420987,4.841851e-07,2.961607e-06
YDL201W,1.299001,4.397964e-06,2.233489e-05
YDL207W,1.042448,1.646672e-09,1.599516e-08
YDL208W,1.987414,4.057169e-12,6.82616e-11
YDL209C,1.232935,4.927431e-05,0.0001984425
YDL213C,1.64186,2.229703e-12,3.91773e-11
YDL239C,1.290213,1.210771e-11,1.864059e-10
YDL243C,1.229887,0.0008067596,0.002446117
YDL246C,1.241291,0.00920827,0.02082284
YDR001C,1.051228,4.374576e-10,4.800681e-09
YDR002W,1.236488,4.071619e-07,2.533213e-06
YDR012W,1.717475,0.000217505,0.0007534868
YDR021W,1.47767,4.162756e-05,0.0001700216
YDR025W,1.91993,2.793203e-08,2.187319e-07
YDR026C,1.114692,4.78277e-13,9.539971e-12
YDR033W,1.209224,5.34858e-06,2.686147e-05
YDR049W,1.312712,2.958468e-11,4.179413e-10
YDR052C,1.430839,1.122849e-13,2.599354e-12
YDR060W,1.670348,8.901306e-10,9.121322e-09
YDR064W,1.557109,0.0005719303,0.001802163
YDR083W,1.212352,5.954463e-09,5.253012e-08
YDR086C,1.111193,0.0002359206,0.0008119497
YDR087C,1.846988,7.301565e-10,7.617405e-09
YDR097C,1.454527,1.940763e-07,1.287684e-06
YDR113C,1.734381,3.221089e-08,2.476529e-07
YDR152W,1.639571,1.674302e-10,1.952224e-09
YDR156W,1.468649,0.0008987736,0.002685314
YDR157W,1.079293,3.057756e-05,0.0001300828
YDR165W,1.35967,1.960483e-06,1.076653e-05
YDR172W,1.601809,1.589033e-12,2.913075e-11
YDR183W,1.496013,0.0004189291,0.001362701
YDR184C,2.575983,7.004104e-11,9.029885e-10
YDR218C,2.10668,2.322326e-11,3.394128e-10
YDR226W,1.519082,0.0005980018,0.001869456
YDR227W,1.105895,9.841535e-13,1.857883e-11
YDR245W,1.175065,1.680705e-07,1.129312e-06
YDR266C,1.424916,4.225397e-12,7.071688e-11
YDR285W,1.130441,1.664975e-05,7.490027e-05
YDR299W,1.751825,5.440146e-07,3.286366e-06
YDR309C,2.664335,5.713878e-11,7.566415e-10
YDR310C,1.783908,7.276997e-13,1.402978e-11
YDR311W,1.043714,5.231784e-08,3.845331e-07
YDR312W,1.528997,2.319582e-09,2.192714e-08
YDR324C,1.304673,5.314702e-08,3.897243e-07
YDR325W,1.429293,7.430443e-10,7.73913e-09
YDR329C,1.01801,8.577878e-08,6.099718e-07
YDR335W,1.183836,1.118398e-09,1.122469e-08
YDR339C,1.034548,2.295405e-06,1.2423e-05
YDR341C,1.14014,5.855721e-09,5.180313e-08
YDR348C,1.468771,5.907485e-07,3.527919e-06
YDR351W,1.862935,1.741416e-26,3.808896e-24
YDR359C,1.72846,7.616926e-16,2.729614e-14
YDR361C,1.460496,3.239253e-07,2.056715e-06
YDR363W,1.009293,2.096299e-06,1.140379e-05
YDR365C,2.121947,1.587222e-15,5.271072e-14
YDR374C,1.09466,0.006461254,0.01524125
YDR382W,1.161363,4.396821e-05,0.000178547
YDR398W,1.033699,0.0006267578,0.001943072
YDR412W,1.652167,1.245051e-10,1.495712e-09
YDR418W,1.591301,0.0004991215,0.00159573
YDR420W,1.561607,9.603967e-11,1.180581e-09
YDR429C,1.103975,6.987694e-09,6.096691e-08
YDR440W,1.334663,1.033151e-07,7.209328e-07
YDR446W,1.280607,0.002805268,0.007349778
YDR450W,1.530758,0.0004841372,0.00155409
YDR451C,1.112739,0.004754311,0.01161209
YDR452W,1.157039,1.302587e-10,1.550152e-09
YDR454C,1.908624,5.708575e-09,5.064265e-08
YDR464W,1.180086,9.187091e-11,1.140386e-09
YDR478W,1.436624,7.073714e-10,7.391856e-09
YDR486C,1.264911,0.0008337249,0.00251585
YDR496C,1.690862,7.092359e-09,6.17951e-08
YDR499W,1.006302,3.060475e-07,1.952977e-06
YDR507C,2.193893,5.374836e-13,1.05224e-11
YDR515W,1.987969,1.619871e-17,8.422e-16
YDR524C-B,1.577645,9.670909e-05,0.0003647002
YDR527W,1.395732,4.92719e-07,3.005112e-06
YDR533C,1.602841,2.310653e-05,0.0001010095
YEL009C,1.156183,0.01501898,0.03211915
YEL009C-A,1.840241,7.182993e-08,5.159878e-07
YEL022W,1.087741,6.411532e-11,8.385226e-10
YEL026W,2.009477,0.0002423109,0.0008299018
YEL042W,1.335671,5.607173e-08,4.092785e-07
YEL052W,1.081344,2.163947e-07,1.420902e-06
YEL054C,1.706136,2.977318e-12,5.104089e-11
YEL055C,1.315023,3.181623e-10,3.559265e-09
YEL059C-A,1.233807,0.003343892,0.008531902
YER006W,2.20519,1.3367960000000001e-17,7.309736e-16
YER025W,1.146935,6.736849e-08,4.850378e-07
YER031C,1.890264,2.437503e-13,5.153694e-12
YER032W,1.390105,3.654984e-09,3.350226e-08
YER056C-A,1.375456,0.003090972,0.007995935
YER058W,1.694955,1.563804e-10,1.833495e-09
YER064C,1.279219,1.441812e-09,1.420095e-08
YER074W,1.859299,6.083016e-10,6.473921e-09
YER082C,2.240893,7.315123e-16,2.651419e-14
YER085C,2.043511,5.776709e-05,0.0002298724
YER087C-B,1.571372,6.354143e-05,0.0002501821
YER095W,1.424287,4.228845e-05,0.000172388
YER102W,1.402373,0.0001390256,0.0005044849
YER106W,1.924381,3.868474e-05,0.0001603667
YER110C,1.485984,8.773028e-07,5.095908e-06
YER111C,1.325016,3.431992e-10,3.825857e-09
YER114C,1.158794,3.083216e-10,3.455272e-09
YER115C,1.163245,2.366757e-08,1.885972e-07
YER120W,1.599949,4.139016e-06,2.115534e-05
YER126C,1.385145,4.153643e-05,0.0001699778
YER127W,1.684267,1.311763e-08,1.100597e-07
YER128W,1.106326,0.003087708,0.007990751
YER132C,1.419558,5.60026e-14,1.398522e-12
YER137C,1.696256,1.52059e-09,1.488442e-08
YER142C,1.439784,2.966529e-06,1.569366e-05
YER145C,1.037698,0.001455208,0.004118868
YER167W,1.094269,2.046782e-08,1.658076e-07
YER175C,1.082965,0.0001714499,0.0006072066
YER177W,1.183385,0.0001568631,0.0005602381
YFL002C,1.51758,5.700843e-17,2.582889e-15
YFL002W-A,1.545214,0.000396467,0.001297214
YFL008W,1.724438,3.756575e-11,5.172087e-10
YFL020C,1.084659,0.04931717,0.09067211
YFL023W,1.518957,5.051273e-09,4.551168e-08
YFL040W,1.415434,1.949565e-08,1.585396e-07
YFL060C,2.427121,0.0002882028,0.0009687706
YFR009W,1.006186,3.555537e-08,2.713932e-07
YFR016C,1.161015,2.979486e-11,4.190439e-10
YFR017C,1.022094,0.002725126,0.007161909
YFR019W,1.470039,2.452144e-18,1.555395e-16
YFR023W,2.450285,1.55627e-06,8.628862e-06
YFR028C,1.384836,9.09978e-08,6.427606e-07
YFR031C,1.513528,1.2645319999999999e-24,2.056648e-22
YFR031C-A,1.084294,0.002528589,0.006713622
YFR032C,2.054889,8.736892e-07,5.07957e-06
YFR035W-A,1.433364,0.001338822,0.003839957
YFR037C,1.197602,1.42484e-05,6.526633e-05
YFR038W,1.072847,8.062618e-10,8.342771e-09
YGL012W,1.021654,0.001637017,0.004572257
YGL019W,1.461992,1.023522e-07,7.167123e-07
YGL023C,1.083165,0.0001169362,0.0004324935
YGL029W,1.61776,1.186175e-05,5.544517e-05
YGL031C,1.395826,9.738983e-06,4.637715e-05
YGL075C,1.478251,3.831352e-05,0.0001591504
YGL078C,1.786636,3.829016e-11,5.253845e-10
YGL086W,1.042647,1.270197e-13,2.887764e-12
YGL090W,1.167131,1.72873e-08,1.414882e-07
YGL099W,1.793709,1.465665e-17,7.878571e-16
YGL105W,1.730221,8.920295e-14,2.127122e-12
YGL108C,1.236576,3.28582e-07,2.082113e-06
YGL111W,1.72592,3.460814e-11,4.803488e-10
YGL120C,1.811806,1.763251e-12,3.195515e-11
YGL128C,1.384226,6.77378e-07,3.993131e-06
YGL133W,1.276613,2.011268e-10,2.319541e-09
YGL137W,1.069281,4.142067e-07,2.568244e-06
